X,Y,OBJECTID,SCHOOL_ID,NAME,ADDRESS,COMMUNITY,CATEGORY,LOWEST_GRADE,HIGHEST_GRADE,LANGUAGE,SCHOOL_BOARD,WEBSITE,COMMENTS,LONGITUDE,LATITUDE
591501.838999999687076,4788236.639599999413,52,137,Queensdale Elementary School,67 Queensdale Avenue East,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.87297594268257,43.24137888368282
587587.8311,4789959.7551,53,138,Canadian Martyrs' Elementary School,1355 Main Street West,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.9209021674226,43.25735701698606
587037.769799999892712,4789539.451899999753,54,139,St. Mary Secondary School,200 Whitney Avenue,Hamilton,Secondary School,9,12,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.92774425593593,43.253636704776795
588636.332999999634922,4790040.4854,56,144,Columbia International College,1033 Main Street West,Hamilton,Alternative Education,7,12,English,,http://www.cic-totalcare.com/,,-79.90797373351137,43.257961259182004
591370.99930000025779,4786336.085799999535,57,145,St. Michael Elementary School,135 Hester Street,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.87490202698456,43.224284094346515
593510.985299999825656,4789560.5625,58,148,Cathedral High School,30 Wentworth Street North,Hamilton,Secondary School,9,12,French Immersion,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.8480096099915,43.253051542296795
595771.888799999840558,4788520.3943,60,151,Memorial (Hamilton) Elementary School,1175 Main Street East,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.82034332557176,43.24340327630152
597849.669499999843538,4787905.604699999094,61,152,Sir Winston Churchill Secondary School,1715 Main Street East,Hamilton,Secondary School,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.79486515829518,43.23760174840188
597926.618900000117719,4787464.6181,62,155,St. Eugene Elementary School,120 Parkdale Avenue South,Hamilton,Elementary School,Kindergarten,8,French Immersion,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.79399594574605,43.23362168261716
594394.6699,4788759.9583,65,2,Adelaide Hoodless Elementary School,71 Maplewood Avenue,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.8372625496965,43.24573369283557
587501.547199999914,4786112.7936,67,4,St. Vincent De Paul Elementary School,295 Green Cedar Drive,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth Catholic District School Board,https://www.hwcdsb.ca/,,-79.92257553843959,43.22273240059906
587477.566899999976,4787088.424399999902,68,9,Sir Allan Macnab Secondary School,145 Magnolia Drive,Hamilton,Secondary School,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.92271607149632,43.231518919072435
601052.281000000424683,4787339.42669999972,70,12,Lake Avenue Elementary School,157 Lake Avenue North,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.7555339155548,43.232082392224775
599068.003999999724329,4786606.141,71,15,Glendale Secondary School,145 Rainbow Drive,Hamilton,Secondary School,9,12,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.78009662227238,43.22574404878071
591150.424899999984,4786935.5502,75,20,Norwood Park Elementary School,165 Terrace Drive,Hamilton,Elementary School,1,8,French Immersion,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.87751852404332,43.22970775014828
594049.720099999569356,4784034.334,32,97,Cecil B. Stirling Elementary School,340 Queen Victoria Drive,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.84231617155791,43.203232507670386
589893.172500000335276,4789468.5381,33,7,Earl Kitchener Elementary School,300 Dundurn Street South,Hamilton,Elementary School,Kindergarten,5,French Immersion,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.89258523380612,43.2526631591308
590240.828700000420213,4787542.1654,34,105,Buchanan Park Elementary School,30 Laurier Avenue,Hamilton,Elementary School,Kindergarten,6,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.88861851874307,43.235278473003774
596213.01410000026226,4787832.447899999097,35,106,A.M. Cunningham Elementary School,100 Wexford Avenue South,Hamilton,Elementary School,Kindergarten,5,French Immersion,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.81503101264408,43.237153690474535
591938.540500000119209,4790088.150499999523,36,108,Southern Ontario Collegiate,29 Rebecca St,Hamilton,Alternative Education,9,12,English,,http://www.mysoc.ca,,-79.8672892482904,43.257994799737965
591014.897900000214577,4786356.411599999294,37,109,Ridgemount Elementary School,65 Hester Street,Hamilton,Elementary School,Kindergarten,8,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.87928270940907,43.22451012426228
598180.106499999761581,4788240.3241,39,111,Parkdale Elementary School,139 Parkdale Avenue North,Hamilton,Elementary School,Kindergarten,5,English,Hamilton-Wentworth District School Board,https://www.hwdsb.on.ca,,-79.79073672214263,43.240572186365576
591554.547500000335276,4784660.4647,40,113,Guido De Brès Christian High School,420 Crerar Drive,Hamilton,Alternative Education,9,12,English,,http://www.guidodebres.org,,-79.87292024095542,43.20917622532042
